username,location,country,rating,rating_value,rating_service,rating_food,rating_atmosphere,review,title,date
Noelle O,"Dublin, Ireland",Ireland,5,5.0,5.0,null,5.0,Informative and friendly. Our waiter explained the origins of our bottle of wine with knowledge and confidence . We watched the world go by in magical surroundings after a wonderful day wandering around the old town of Dubrovnik,,Oct 2025
Andrew,"Falkirk, United Kingdom",United Kingdom,5,5.0,5.0,5.0,5.0,"Absolutely amazing, by far the best food and service in Old Town Dubrovnick. Obran made us feel welcome and really made our night special.
High quality food and service without the extra expense. Get the harbour view, so beautiful.",,Oct 2025
Michael K,"Munster, Germany",Germany,5,null,null,null,null,"We had a very nice evening at this restaurant, sitting on the terrace facing the square. Service was fantastic and food was very good. Both of us had different types of steaks and they were to the point.",,Oct 2025
Maisy S,null,null,5,5.0,5.0,5.0,5.0,"10/10. We booked 2 days in advance and on a whim I asked in the notes if we could have a table by the water if available - upon arrival we were taken straight to a table at the front which was absolutely perfect. Breathtaking views to eat your dinner, the food was really lovely, couldn’t fault at all. I had a couple of glasses of Prosecco, and they gave me the second one on the house. Really good prices too, considering location. We didn’t wait long at all to be served - service was fab. Really easy place to find too, central location with helpful staff to show you where to go.",,Oct 2025
Carolina2490,"New Orleans, Louisiana",USA,5,null,null,null,null,Amazing restaurant with spectacular views. Orben provided us the best service and gave a detailed explanation of the menu. His recommendations were so delicious. Highly recommend this restaurant!,,Oct 2025
Happiness40596024257,null,null,5,null,null,null,null,"Amazing food and location!
We had seafood risotto and truffle pasta are super!
Especially our server Obren is so attentive and give us billiant servise!
We'll definitely come back!!",,Oct 2025
Corina D,null,null,5,null,null,null,null,If you are looking for an elegant and scenic location for dinner this will be your favorite place in Dubrovnik. Our server Marco was very attentive and made great food and drink suggestions. Food looked and tasted good. Highly recommend.,,Oct 2025
Rachel W,null,null,5,null,null,null,null,Our waiter Marijo was absolutely the nicest and the views were unbeatable. Very relaxing atmosphere and didn’t feel rushed at all.,,Oct 2025
Summer C,null,null,5,5.0,5.0,5.0,5.0,"Obren is a wonderful waiter, pleasant , attentive and a true pleasure. Welcoming atmosphere with delightful gastronomic delights.",,Oct 2025
Stefan B,null,null,5,5.0,5.0,5.0,5.0,"We visited the restaurant Gradska kavana in our days in beautiful Dubrovnik by the harbour. The Service was top, very professional and friendly. Marko served us. The food was also very tasty and reasonably priced. There is also a good selection of open wines.",,Oct 2025
Navigator24075747195,null,null,1,4.0,1.0,4.0,null,Ordered 2 coffee and 2 cakes had to ask 3 times for the cakes time we got the cakes the coffee was cold then asked for some hot water that arrived 10 minutes after we finished the coffee not very good service from the staff at the front restaurant as the only reason we returned was we had dinner here before at the back restaurant and it was excellent but this episode has now put us off as we felt ignored from the staff.,,Oct 2025
Dawn,"St. Neots, United Kingdom",United Kingdom,3,null,null,null,null,"Yes, its a fantastic location whether you're on the street (quieter) or seafront (hustle and bustle of tourist groups walking by and trips getting organised) but felt the food was average. Service was good but few gluten free options meant we weren't tempted to come back. Great for a coffee or cocktail and some people watching!",,Oct 2025
