username,location,country,rating,rating_value,rating_service,rating_food,rating_atmosphere,review,title,date
Anonymous,null,null,5,null,null,null,null,"Wonderful experience, service, food, and location. Attentive, polite staff and beautiful view. Would highly recommend.",,Oct 2025
Anonymous,"Calgary, Canada",Canada,5,null,null,null,null,"Dubravka 1836 was an absolute win. We scored a table right beside the ocean, and when the breeze got a bit chilly they handed us blankets like we were VIP burritos. The service was perfect. The servers were smiling, friendly, attentive, and somehow managed to be helpful without hovering like seagulls eyeing your fries. You could tell they actually liked their jobs, which was refreshing.

Atmosphere? Check. Stunning view of the ocean, the city walls, and Fort Lovrijenac making me feel like I was in a postcard or possibly a Game of Thrones episode. Then the food arrived and wow. Cooked to perfection, tasted amazing, and looked good enough to make me pause before eating just to appreciate it. The best part? The bill did not make me question my life choices when I checked my bank account the next day.

Highly recommend. Come for the view, stay for the food, and enjoy being wrapped in a blanket like a happy, well-fed tourist.",,Oct 2025
Anonymous,"Camberley, United Kingdom",United Kingdom,5,null,null,null,null,"Friendly, efficient service with a smile. The food was very good and portions were large. Our table was right on the sea wall with great views and the sound of the waves crashing below. Perfect.",,Oct 2025
Anonymous,null,null,5,5.0,5.0,5.0,5.0,Seafood risotto was very tasty. A glass of house white wine was inexpensive and good. The service was excellent Zeljka. It is always a good sign when a restaurant is continually busy. The restaurant has been operating since 1836!,,Oct 2025
Anonymous,null,null,5,5.0,5.0,4.0,5.0,Great meal with amazing views of the city walls. Our host Duje was very friendly and attentive. We’d definitely eat here again.,,Oct 2025
Anonymous,null,null,5,null,null,null,null,After some lovely cocktails we had great food. Veal was excellent and the ‘gratinated’ potatoes were delicious. Thanks to Dragan our server.,,Oct 2025
Anonymous,"London, United Kingdom",United Kingdom,5,5.0,5.0,5.0,5.0,"Beautiful position on the outside of the walls of Dubrovnik.
Lovely service. 
Food delicious. Felt like 'romantic' with lovely views, table cloths, candles etc.",,Oct 2025
Anonymous,null,null,5,3.0,5.0,5.0,5.0,"I arrived at this restaurant without a reservation. I was satisfied with the quality of the service, presentation and kindness of the staff. I had grilled squid as the main course and as a dessert I had the cheesecake. Both meals were presented well and cooked perfectly. I do feel that the portion size was small especially from the main course but it doesn’t affect my review. Definitely worth a visit to anyone local to Old Town in Dubrovnik!",,Oct 2025
Anonymous,"Big Pine Key, Florida",USA,5,null,null,null,null,The service was very nice and staff are very friendly and knowledgeable. The view and location is spot on. Great place to just relax.,,Oct 2025
Anonymous,null,null,4,null,null,null,null,"The setting, service and food was very good. We made a reservation to sit at a table along the sea. There during the food festival and their special price fixe menu was delicious. The wait staff was highly efficient.",,Oct 2025
Anonymous,null,null,5,5.0,5.0,5.0,5.0,"Very nice staff. Diversified menus and correct prices. More than correct quantity and quality. Well chosen wines. 
Very nice terrace. Zeljka,Niksa and Kristoba are the Best 👍👍👍",,Oct 2025
Anonymous,null,null,5,null,null,null,null,"Right at the entrance to the old town, very fine exquisite cuisine!
Fine cuisine, particularly friendly service, incredibly beautiful views, highly recommended",,Oct 2025
Anonymous,null,null,5,5.0,5.0,5.0,5.0,"Our 3rd visit tonite. We had the veal schnitzel. Superb. Lovely crust and melt in your mouth feel. Great views of the Backwater Bay, the Fort, and the Old Town Walls. Great service from good hard working young people. Great value. Best restaurant in Dubrovnik.",,Oct 2025
