username,location,country,rating,rating_value,rating_service,rating_food,rating_atmosphere,review,title,date
Kevin B,null,null,5,5.0,5.0,5.0,5.0,"Great setting with good food, service and atmosphere. Was able to get a walk in table in October, but will be much busier in summer. Good location with great views.",,Oct 2025
FunDay N,null,null,5,5.0,5.0,5.0,5.0,We enjoyed the food and service. It is a great place for dining out with friends and families. Excellent food and good pairings to enrich our Dubrovnik story.,,Oct 2025
Kim B,"Houston, Texas",USA,5,null,null,null,null,"Truly an exceptional experience! It was my husband’s birthday, our reservation was mixed up by our travel agent but they worked with us to make a most memorable experience. Our waiter Antonio was fantastic, engaging, and very knowledgeable with terrific recommendations. The view, the wine, the food, the service - we will never forget this night!",,Oct 2025
Debbie,null,null,5,null,null,null,null,Everything from the beautiful venue on the water overlooking the Old Town to the delicious food and superb wines and cocktails to the outstanding staff was exceptional! The food presentation was amazing and the staff was not only helpful with their suggestions but made our dining experience so much fun! It was our last night visiting Croatia and the best dinner to end our trip!,,Oct 2025
Mauro De Luca,"Omegna, Italy",Italy,3,null,null,null,null,"On Nautika's website the restaurant calls itself ""the best in Dubrovnik"" and ""the sixth most romantic restaurant in the world"" according to Condé Nast Traveller magazine. Also on June 6, 2003, Nautika had the honor of hosting Pope John Paul II. For our special dinner in Dubrovnik we booked several days in advance specifically to have a table in the front row on the terrace with panoramic views of the sea and the fortresses of Lovrijenac and Bokar. Unfortunately they were unlucky: that evening a strong and cold wind blew, so we were placed in an interior room, however ancient and elegant, although without any panoramic view. Patience, we hope that next time we will be luckier with the reservation of the ""front row table"". 
We both tried the Bokar"" 5-course tasting menu, at €155 per person: although some courses were truly exceptional, I would say without a doubt that at Nautika you pay mainly for the location and the high-class Service they offer, rather than for the food itself. 
Finally, a strange thing: the waiter in white gloves was quick to pour us more wine as soon as he realized that our glasses were empty. On the contrary, it did not do the same with mineral water: that we had to serve it alone throughout the evening. Really a strange thing for such a listed location, but perhaps at the Nautika restaurant -""the best in Dubrovnik"" - it is used this way.",,Oct 2025
Stephen W,null,null,5,5.0,5.0,5.0,5.0,"To sit on the wonderful terrace and enjoy the historic theatre of Dubrovnik's old town was one thing. To enjoy the exquisite food was another. To witness the enthralling evening display of a flock of Alpine swifts (birds we had never seen before) was utterly enchanting. Everything was first class. The cuisine, the service and the sense of humour. Can not be faulted. You will pay a pretty penny in silver but it is worth it because you will never forget it. Why? Because it will make you smile. Thank you Mario and all the staff, Steve Walsh. (We will return).",,Oct 2025
Z8974ERlisa,"Halifax, Canada",Canada,4,null,null,null,null,My meal at Nautika was a very memorable experience. It started with our table - overlooking the fortress and the sea. Everyone in our party ordered the Bokar tasting menu and we were not disappointed. The fish soup and the shrimp were standouts for me - so delicious. I really liked the unique olive oil pairings with each course. The service was impeccable and our waiter was knowledgeable and good natured. There is an extensive wine menu catering to all tastes and price points. Dinner at Nautika was a highlight of my trip to Croatia and I would recommend it without hesitation.,,Sep 2025
Lucy & Joe Wilson,null,null,5,5.0,5.0,5.0,5.0,"What a truly fantastic evening celebrating our wedding anniversary in such a stunning setting! The food was absolutely delicious, the wine service exceptional, the cocktail to die for, and every member of staff was wonderfully attentive. A special thank you to our waiter, Henry – your service was outstanding. We dined outside, and although it was a little chilly, the team thoughtfully provided a heater and cosy blankets, which made it perfect. Thank you, Nautika, for an unforgettable evening and a perfect way to end our stay in Croatia! :)",,Oct 2025
sinuhe66,"Valencia, Spain",Spain,5,null,null,null,null,"We went without reservation and at the recommendation of the guide of a free tour and we really liked the place, with fantastic views of the fortress, as well as the prawn risotto and the exquisite treatment received. The price, if you order with a head, is very reasonable in a very expensive city.",,Aug 2025
jacky,"Hong Kong, China",China,5,null,null,null,null,Excellent service and foods. I will definitely come back again. The steak is so good and it’s one of the best steak I have ever had,,Oct 2025
