username,location,country,rating,rating_value,rating_service,rating_food,rating_atmosphere,review,title,date
Anonymous,null,null,5,null,null,null,null,The waiter was so nice and helpful. Food and drink was lovely and the views were amazing. We were not rushed at all from the table.,,Oct 2025
Anonymous,null,null,2,1.0,1.0,3.0,2.0,We went last evening 5.30 pm. Beautiful views of the Old Town and surrounds. Except for the huge crane blocking the view. Our 5 star hotel booked a seat on the front row for us. We walked up stairs for the restaurant as instructed by the uber driver. The young woman on front desk told us to go out the door and walk down the stairs. No other help or direction. We stumbled on next level and the woman there checked our reservation and took us down the hill to the lowest deck where the bar was. My wife noticed our table reserved was no 42 but we were taken to no 22. Why? We were dressed well and baby boomers. We got money. So got a bad table. Waiter was rushed and totally disinterested in us. The food was lamb cutlets (waiter argued with us that it was lamb chops) and I had risotto. 5-6 mouthfuls. Price was really large. A total rip off. But we saw a sunset,,Oct 2025
Anonymous,null,null,5,null,null,null,null,"My friends and I had the best time at the Panorama tonight. We walked up the trail around sunset and were able to get a table right away. Tony was our server and was so thoughtful. He made sure our heat lamp was in the right place and even brought us a second one when he noticed we were cold. A reservation cancelled and he also moved us to a better table to enjoy our drinks! This whole experience is an absolute must if you’re in Dubrovnik. Thank again, Tony!",,Oct 2025
Anonymous,"Seattle, Washington",USA,5,null,null,null,null,"Amazing food, view, and excellent wait staff. Well worth the trip and would strongly recommend. Beefsteak dinner was a 16 oz tenderloin cooked to perfection.",,Oct 2025
Anonymous,"Staffordshire, United Kingdom",United Kingdom,5,null,null,null,null,"We booked prior to our arrival in Croatia due to reviews we’d seen. Glad we did as we were able to book a front row table on a day where the weather was lovely, luckily we did not leave it till later as the weather changed at the end of our break. 
Walk ins were being taken while we were there but in between bookings so at a reduced time allocation at the table but we wanted to take our time and enjoy the experience.
Our waiter was very friendly, very knowledgeable of the menu and was able to suggest alternatives to our original choice which meant we could enjoy more items off the menu. 
We had a vegetable risotto to start, beef steak main, sweets & drinks at a reasonable price €140 for two. The beef was cooked to perfection. 
All of the above was complimented by the amazing location looking over the old town. 
Would highly recommend and will return.",,Oct 2025
Anonymous,White Mountains of New Hampshire,White Mountains of New Hampshire,4,null,null,null,null,"View is spectacular but I would recommend going for Lunch rather than dinner this time of year. It was cold when the sun went down and became quite deserted when the cable car stopped running.
Food was good but nothing special.",,Oct 2025
Anonymous,"Kent, United Kingdom",United Kingdom,5,null,null,null,null,"A great menu, with the light lunch option being very filling!
I had not booked in advance, but only had to wait 5 minutes for a table.
I had the steak sandwich which was delicious, and a strawberry kiss cocktail which was an absolute delight!
Service was excellent, and despite it being busy I was not rushed at all.
Considering the venue, I did not think it was overpriced at all.",,Oct 2025
Anonymous,"London, United Kingdom",United Kingdom,4,4.0,5.0,4.0,5.0,"It seems the reviews for this restaurant are either very good or very bad, probably our perspective is that you are visiting to sit down and enjoy the views ...
Anyway, we visited just before noon mid-week without a booking and managed to get a front-row table. 
Being able to sit and enjoy the view was worth it.

That said, we ordered light, a steak sandwich along with the cream cake.
The steak sandwich was surprisingly good (and contrary to some other reviews, had plenty of steak). The cake was well .. cake.

Overall, if you can't make a booking online, give it a try, you might be able to walk in. Don't expect too much in terms of food and just take in the view.",,Oct 2025
Anonymous,null,null,5,null,null,null,null,"Amazing place with phenomenal food. This place is a must. Additionally we had the privilege to be served by Vedran, he went one step further, perfect recommendations, great service and incomparable attitude. 10/10.",,Oct 2025
Anonymous,"Poynton, United Kingdom",United Kingdom,5,null,null,null,null,Wow wow wow! What a place. I could not fault anything ! The staff were lovely. The food was amazing ! The strawberry mocktail was the best drink I’ve had !,,Oct 2025
