country,keyword,count
United Kingdom,food,2826
United Kingdom,restaurant,1948
United Kingdom,service,1830
United Kingdom,great,1399
United Kingdom,table,1394
United Kingdom,dubrovnik,1319
United Kingdom,good,1316
United Kingdom,view,1306
United Kingdom,views,1257
United Kingdom,staff,1194
United Kingdom,lovely,988
United Kingdom,here,978
United Kingdom,amazing,883
United Kingdom,excellent,811
United Kingdom,recommend,803
United Kingdom,meal,762
United Kingdom,friendly,698
United Kingdom,location,674
United Kingdom,best,670
United Kingdom,wine,652
United Kingdom,evening,627
United Kingdom,delicious,600
United Kingdom,town,586
United Kingdom,place,580
United Kingdom,really,576
United Kingdom,waiter,561
United Kingdom,well,561
United Kingdom,cable,548
United Kingdom,experience,539
United Kingdom,lunch,536
USA,food,958
USA,service,748
USA,view,674
USA,restaurant,640
USA,great,580
USA,dubrovnik,494
USA,good,487
USA,table,362
USA,excellent,340
USA,views,339
USA,delicious,322
USA,here,316
USA,dinner,309
USA,amazing,307
USA,wine,305
USA,best,303
USA,experience,285
USA,meal,275
USA,recommend,265
USA,staff,264
USA,city,252
USA,beautiful,228
USA,place,223
USA,well,208
USA,nice,204
USA,waiter,204
USA,wonderful,193
USA,location,192
USA,reservation,184
USA,highly,180
Australia,food,231
Australia,service,198
Australia,restaurant,163
Australia,great,148
Australia,view,143
Australia,dubrovnik,118
Australia,good,109
Australia,table,97
Australia,amazing,85
Australia,staff,85
Australia,here,75
Australia,place,71
Australia,dinner,70
Australia,views,68
Australia,recommend,65
Australia,delicious,64
Australia,best,64
Australia,lovely,61
Australia,town,60
Australia,friendly,58
Australia,wine,57
Australia,meal,56
Australia,well,56
Australia,experience,55
Australia,excellent,53
Australia,location,48
Australia,night,47
Australia,attentive,44
Australia,nice,44
Australia,lunch,43
Ireland,food,198
Ireland,restaurant,139
Ireland,staff,110
Ireland,service,108
Ireland,dubrovnik,102
Ireland,great,102
Ireland,view,100
Ireland,good,90
Ireland,amazing,88
Ireland,table,88
Ireland,views,82
Ireland,here,74
Ireland,recommend,74
Ireland,lovely,72
Ireland,friendly,56
Ireland,delicious,56
Ireland,beautiful,52
Ireland,really,48
Ireland,experience,47
Ireland,excellent,47
Ireland,waiter,47
Ireland,best,47
Ireland,worth,46
Ireland,place,42
Ireland,meal,42
Ireland,dinner,41
Ireland,visit,40
Ireland,definitely,38
Ireland,highly,38
Ireland,setting,38
Canada,food,151
Canada,service,136
Canada,view,118
Canada,restaurant,106
Canada,great,98
Canada,good,93
Canada,dubrovnik,77
Canada,amazing,57
Canada,table,54
Canada,excellent,54
Canada,experience,51
Canada,meal,50
Canada,dinner,49
Canada,staff,47
Canada,recommend,46
Canada,best,46
Canada,wine,45
Canada,place,45
Canada,views,39
Canada,town,37
Canada,here,36
Canada,location,35
Canada,city,34
Canada,delicious,34
Canada,highly,33
Canada,nice,33
Canada,friendly,32
Canada,really,32
Canada,well,32
Canada,beautiful,31
Croatia,food,123
Croatia,view,107
Croatia,restaurant,93
Croatia,dubrovnik,81
Croatia,service,81
Croatia,good,80
Croatia,great,68
Croatia,amazing,51
Croatia,staff,50
Croatia,place,44
Croatia,recommend,43
Croatia,dinner,41
Croatia,best,41
Croatia,city,39
Croatia,beautiful,38
Croatia,friendly,38
Croatia,experience,37
Croatia,excellent,37
Croatia,perfect,35
Croatia,wine,31
Croatia,here,31
Croatia,nice,30
Croatia,prices,30
Croatia,location,30
Croatia,visit,28
Croatia,table,27
Croatia,really,26
Croatia,delicious,25
Croatia,lunch,25
Croatia,time,24
France,good,86
France,view,64
France,service,64
France,nice,54
France,food,52
France,restaurant,49
France,place,43
France,dubrovnik,32
France,great,32
France,friendly,31
France,excellent,30
France,well,29
France,staff,24
France,delicious,24
France,recommend,24
France,dishes,21
France,really,21
France,amazing,20
France,price,19
France,table,19
France,fish,19
France,perfect,18
France,meal,18
France,port,17
