year_month,restaurant,rating,count
2014-08,Nautika,4.0,1
2014-09,Nautika,5.0,1
2014-10,Dubravka,5.0,1
2014-10,Nautika,5.0,1
2015-04,Dubravka,4.0,1
2015-05,Nautika,4.0,2
2015-06,Dubravka,3.6666666666666665,3
2015-06,Nautika,4.4,15
2015-07,Dubravka,4.0,1
2015-07,Nautika,4.5,20
2015-08,Dubravka,4.0,5
2015-08,Nautika,4.555555555555555,27
2015-09,Dubravka,4.0588235294117645,34
2015-09,Nautika,4.678571428571429,28
2015-09,Panorama,5.0,2
2015-10,Dubravka,4.225806451612903,31
2015-10,Nautika,4.7,10
2015-11,Dubravka,4.25,8
2015-11,Nautika,5.0,1
2016-01,Nautika,3.0,1
2016-02,Dubravka,4.333333333333333,3
2016-03,Dubravka,4.153846153846154,13
2016-03,Nautika,5.0,1
2016-04,Dubravka,4.470588235294118,34
2016-04,Nautika,4.923076923076923,13
2016-04,Panorama,5.0,1
2016-05,Dubravka,4.3076923076923075,52
2016-05,Nautika,4.933333333333334,15
2016-05,Panorama,4.5,6
2016-06,Dubravka,4.326530612244898,49
2016-06,Nautika,4.869565217391305,23
2016-06,Panorama,4.181818181818182,11
2016-07,Dubravka,4.142857142857143,56
2016-07,Nautika,4.709677419354839,31
2016-07,Panorama,4.507042253521127,71
2016-08,Dubravka,4.2272727272727275,44
2016-08,Nautika,4.722222222222222,36
2016-08,Panorama,4.411764705882353,68
2016-09,Dubravka,4.387755102040816,49
2016-09,Nautika,4.72972972972973,37
2016-09,Panorama,4.5636363636363635,55
2016-10,Dubravka,4.214285714285714,42
2016-10,Nautika,4.894736842105263,19
2016-10,Panorama,4.538461538461538,39
2016-11,Dubravka,4.166666666666667,6
2016-11,Nautika,5.0,1
2017-02,Dubravka,4.2,5
2017-02,Panorama,5.0,1
2017-03,Dubravka,4.538461538461538,13
2017-03,Nautika,5.0,5
2017-03,Panorama,5.0,8
2017-04,Dubravka,4.523809523809524,42
2017-04,Nautika,4.842105263157895,19
2017-04,Panorama,4.714285714285714,28
2017-05,Dubravka,4.434782608695652,69
2017-05,Nautika,4.875,32
2017-05,Panorama,4.6521739130434785,46
2017-06,Dubravka,4.5,62
2017-06,Nautika,4.837837837837838,37
2017-06,Panorama,4.774193548387097,62
2017-07,Arsenal,5.0,1
2017-07,Dubravka,4.220338983050848,59
2017-07,Nautika,4.973684210526316,38
2017-07,Panorama,4.571428571428571,63
2017-08,Arsenal,5.0,2
2017-08,Dubravka,4.261904761904762,42
2017-08,Nautika,4.675,40
2017-08,Panorama,4.444444444444445,54
2017-09,Arsenal,5.0,1
2017-09,Dubravka,4.293103448275862,58
2017-09,Nautika,4.586206896551724,29
2017-09,Panorama,4.46875,64
2017-10,Arsenal,5.0,1
2017-10,Dubravka,4.258064516129032,31
2017-10,Nautika,4.6,20
2017-10,Panorama,4.578947368421052,38
2017-11,Dubravka,4.166666666666667,6
2017-11,Panorama,5.0,2
2017-12,Arsenal,4.5,2
2017-12,Panorama,2.0,1
2018-01,Arsenal,1.0,2
2018-01,Panorama,5.0,1
2018-02,Arsenal,4.8,5
2018-02,Dubravka,5.0,1
2018-03,Arsenal,4.6,10
2018-03,Dubravka,4.285714285714286,14
2018-03,Nautika,4.5,4
2018-03,Panorama,5.0,4
2018-04,Arsenal,4.5,26
2018-04,Dubravka,4.424242424242424,33
2018-04,Nautika,4.722222222222222,18
2018-04,Panorama,4.592592592592593,27
2018-05,Arsenal,4.729166666666667,48
2018-05,Dubravka,4.5,48
2018-05,Nautika,4.961538461538462,26
2018-05,Panorama,4.523076923076923,65
2018-06,Arsenal,4.666666666666667,54
2018-06,Dubravka,4.285714285714286,56
2018-06,Nautika,4.71875,32
2018-06,Panorama,4.47945205479452,73
2018-07,Arsenal,4.708333333333333,48
2018-07,Dubravka,4.5,56
2018-07,Nautika,4.741935483870968,31
2018-07,Panorama,4.62962962962963,54
2018-08,Arsenal,4.530612244897959,49
2018-08,Dubravka,4.476190476190476,63
2018-08,Nautika,4.735294117647059,34
2018-08,Panorama,4.623529411764705,85
2018-09,Arsenal,4.7272727272727275,55
2018-09,Dubravka,4.333333333333333,39
