country,expensive,value,cheap,total_reviews,expensive_pct,value_pct
United Kingdom,462,759,191,3401,13.58423992943252,22.316965598353423
USA,123,200,22,1316,9.346504559270517,15.19756838905775
Australia,31,67,9,313,9.904153354632587,21.405750798722046
Ireland,29,76,8,257,11.284046692607005,29.571984435797667
Canada,19,31,8,202,9.405940594059405,15.346534653465346
Croatia,11,31,8,174,6.321839080459771,17.81609195402299
France,9,22,1,122,7.377049180327869,18.0327868852459
The Netherlands,11,13,5,92,11.956521739130435,14.130434782608695
Norway,7,10,1,84,8.333333333333332,11.904761904761903
Germany,11,9,4,80,13.750000000000002,11.25
Finland,11,21,8,77,14.285714285714285,27.27272727272727
Spain,11,15,2,69,15.942028985507244,21.73913043478261
Sweden,4,11,4,65,6.153846153846154,16.923076923076923
Switzerland,12,15,3,65,18.461538461538463,23.076923076923077
Singapore,4,9,3,58,6.896551724137931,15.517241379310345
