Category,Platform/Topic,Key Findings,Opportunity Level,Action Items,Investment Required,Timeline,Priority
BASELINE DATA,Dianping (大众点评),"Arsenal: 189 reviews (¥305/€40), Panorama: 224 reviews (¥253/€33) - MOST POPULAR, Dubravka: 153 reviews (¥234/€30), Nautika: NOT LISTED",High,"Monitor reviews, Respond in Chinese, Create Nautika profile","€500-2000/month for mgmt",Ongoing,CRITICAL

PLATFORM PRESENCE,Xiaohongshu/RED (小红书),"300M+ users, 70%+ young women, Shapes global tourism trends, Paris restaurants promoted on XHS during Olympics 2024, 52% of Chinese use for travel planning, Photo-centric platform",VERY HIGH,"Create XHS accounts, Partner with KOLs for photo content, Encourage check-ins, Create Instagram-worthy dishes/corners","€2000-5000 for KOL campaigns, €500/month mgmt",3-6 months,CRITICAL
PLATFORM PRESENCE,Mafengwo (蚂蜂窝),"Major Chinese travel site, User-generated travel guides and tips, Popular for European destination research",Medium,"List restaurants on platform, Encourage user reviews, Create destination guides","€1000-2000 setup",2-3 months,HIGH
PLATFORM PRESENCE,Trip.com/Ctrip (携程),"Largest OTA in China, Owns Trip.com for international, Restaurant discovery feature for 20 global destinations, Reviews and ratings system",HIGH,"List all 4 restaurants, Optimize profiles with photos, Partner for package deals","€2000-3000 for listings + optimization",1-2 months,CRITICAL
PLATFORM PRESENCE,Weibo (微博),"500M+ users, Most popular for travel KOLs, Open platform for viral reach, Travel influencers prefer Weibo",HIGH,"Create official accounts, Share stunning photos/videos, Partner with travel KOLs, Run campaigns","€1500-3000/campaign + €500/month mgmt",2-4 months,HIGH
PLATFORM PRESENCE,Douyin (抖音),"China's TikTok, 400M+ daily users, Food exploration category very popular, Travel commerce: $40bn in 2024, Short video format",VERY HIGH,"Create short-form video content, Partner with food bloggers on Douyin, Showcase dining experience/views, Run video ads","€2000-4000 for video production + €1500/campaign",3-6 months,CRITICAL
PLATFORM PRESENCE,Zhihu (知乎),"Chinese Quora, Q&A platform, Croatia travel content exists, Used for detailed travel research",Medium,"Monitor questions about Dubrovnik, Provide expert answers, Build thought leadership","€500-1000 for content creation",3-6 months,MEDIUM
PLATFORM PRESENCE,Fliggy (飞猪),"Alibaba's travel platform, 1.5M+ hotels globally, Gen Z and affluent travelers, Integrated with Alipay/Taobao, Restaurant reservation features",HIGH,"List on platform, Create special packages, Integrate with Alibaba ecosystem","€1500-2500 setup + ongoing",2-4 months,HIGH
PLATFORM PRESENCE,WeChat (微信),"1.3B+ users, Essential for Chinese market, WeChat Pay integration, Mini Programs for reservations, WeChat Go Europe exists",VERY HIGH,"Create official account, Develop Mini Program, Enable WeChat Pay, Share articles/updates, Run targeted ads","€3000-5000 for Mini Program + €1000/month",1-3 months,CRITICAL

MARKET STATISTICS,Chinese Tourists to Croatia 2024,"150,000 Chinese visitors to Croatia (Jan-Oct 2024), 93% growth YoY, Largest increase in Europe alongside Belgium, Down from 500,000 pre-pandemic (2019)",HIGH,"Target recovery to pre-pandemic levels, Position for growth phase","N/A - Market intelligence",N/A,INFO
MARKET STATISTICS,Overall Croatia Tourism 2024,"21.3M total visitors (+4% YoY), Tourism revenue: €16B+ (record), Chinese represent ~0.7% of total visitors but high-value segment",Medium,"Focus on quality over quantity, Premium positioning for Chinese segment","N/A - Market intelligence",N/A,INFO
MARKET STATISTICS,Chinese Outbound Tourism 2025,"200M trips projected by 2028, 145M trips in 2024 (+17% spending), Full recovery expected by 2025, ¥5.75 trillion total spending in 2024",VERY HIGH,"Capture share of growing market, Position before full recovery","N/A - Market intelligence",N/A,INFO
MARKET STATISTICS,Spending Power,"Chinese tourists spend 60% more per night vs other markets, 28% budget over ¥50,000 (~$6,900) per trip, 72% planning multiple international trips, Premium/luxury segment growing fastest",VERY HIGH,"Create premium experiences, Develop luxury packages, Premium positioning for Nautika","€2000-3000 for package development",2-3 months,CRITICAL

INFLUENCER LANDSCAPE,Top Travel KOLs,"Molly 猫力: 6.6M Weibo followers, Nono 抬头看风景: 5.2M followers, Xiao Mo: 525K Weibo + strong photography, Mia Zhang: luxury travel + photography, Fan Yichen: combines travel with food",VERY HIGH,"Invite to Dubrovnik for fam trip, Offer complimentary dining experiences, Create collaborative content, Long-term partnerships","€5000-15000 per major KOL visit (flights, accommodation, dining, fees)",3-6 months,CRITICAL
INFLUENCER LANDSCAPE,Food Bloggers,"Li Ziqi: Global recognition for food content, Food tourism is major trend, Fan Yichen specializes in culinary adventures, Douyin food bloggers: recipes, atmosphere, pricing, taste",HIGH,"Target food-focused KOLs, Create behind-the-scenes content, Chef collaboration videos, Signature dish showcases","€3000-8000 per food blogger campaign",2-4 months,HIGH
INFLUENCER LANDSCAPE,Platform Preferences,"KOLs prioritize Douyin for short videos, Xiaohongshu for detailed itineraries, Weibo for broad reach, Multiple platforms strategy essential",HIGH,"Multi-platform KOL strategy, Repurpose content across platforms, Platform-specific content formats","€2000-4000 for multi-platform campaigns",Ongoing,HIGH
INFLUENCER LANDSCAPE,Collaboration Strategy,"Fam trips standard practice, Content rights negotiation important, Long-term relationships preferred, Authentic experiences valued",Medium,"Develop KOL collaboration framework, Create partnership packages, Build long-term relationships","€1000-2000 for framework development",1-2 months,MEDIUM

TOUR OPERATORS,Chinese Operators,"CITS (oldest/largest state-owned, 120+ branches, 1,400 global partners), Major agencies not promoting Croatia heavily yet, Infrastructure exists (32-year transport company)",MEDIUM,"Contact CITS and major operators, Create B2B packages, Offer commission structure, Develop group menus","€2000-3000 for B2B materials + travel to China for meetings",6-12 months,MEDIUM
