Category,Item,Key Metric,Details,Source,Priority
BENCHMARK RESTAURANTS,Five Senses Santorini,#10 Europe Fine Dining,"TripAdvisor 2025, Michelin-starred chef Ettore Botrini",TripAdvisor Rankings 2025,High
BENCHMARK RESTAURANTS,Roka by Zuma Santorini,Premium Japanese,"Zuma brand extension, luxury positioning",Travel.gr 2025,High
BENCHMARK RESTAURANTS,Le Sirenuse Amalfi,Video Content Leader,"Luxury hotel restaurant, high production value video content",Social Media Research,High
BENCHMARK RESTAURANTS,Zoi Split Croatia,Michelin 1-Star,"Mediterranean + modern techniques, historic center",Michelin Guide Croatia,High
BENCHMARK RESTAURANTS,Kadena Split Croatia,Michelin 1-Star,"Sea views, 1 of 4 Michelin stars in Split",Michelin Guide Croatia,High
BENCHMARK RESTAURANTS,Zrno Soli Split,Best Croatia Award,"Freshest fish positioning, frequent winner",Restaurant Reviews,High
BENCHMARK RESTAURANTS,Eleven Madison Park NYC,World's Best 2017,"Captivating Instagram, behind-scenes content, chef personality",World's 50 Best,High
BENCHMARK RESTAURANTS,Hiša Franko Slovenia,2 Michelin Stars,"Showcases people behind success, regional focus",Instagram Research,Medium

PLATFORM PERFORMANCE,Instagram Engagement,2x increase,"High-quality food images receive 2x more engagement",Industry Reports,High
PLATFORM PERFORMANCE,Instagram Reels,22% higher engagement,"Reels increase engagement by 22% vs. other IG video",Social Media Analytics,High
PLATFORM PERFORMANCE,TikTok Impact,36% conversion,"36% of users ordered from restaurants after watching videos",TikTok Business Data,High
PLATFORM PERFORMANCE,TikTok Conversion,51% visit rate,"51% visited restaurant after seeing surprising menu item",TikTok Research,High
PLATFORM PERFORMANCE,Short-form Video ROI,Highest ROI,"Short-form video delivers highest ROI of any social strategy",Marketing Reports 2024,High
PLATFORM PERFORMANCE,SMS Open Rate,98%,"SMS: 98% open rate vs. Email: 20% open rate",Marketing Data,High
PLATFORM PERFORMANCE,SMS Retention,24x uplift,"SMS achieves 24x retention uplift vs. no messaging",Retention Studies,High
PLATFORM PERFORMANCE,Review Trust,84%,"84% of customers trust reviews as much as personal recommendations",Consumer Research,High
PLATFORM PERFORMANCE,Photo Impact,225% increase,"Properties with photos see 225% increase in booking inquiries",TripAdvisor Data,High
PLATFORM PERFORMANCE,Photo Engagement,138% more,"Adding photos results in 138% more engagement from travelers",TripAdvisor Business,High

TRIPADVISOR ALGORITHM,Ranking Formula,Quality × Quantity × Recency,"Algorithm recalculated DAILY based on all reviews",TripAdvisor Business Insights,Critical
TRIPADVISOR ALGORITHM,Review Request Success,62%,"62% of customers will write review if asked",Industry Benchmark,High
TRIPADVISOR ALGORITHM,Recency Weight,High,"Recent reviews valued higher than old; older reviews lose weight",Algorithm Analysis,Critical
TRIPADVISOR ALGORITHM,Quality Threshold,4-5 stars,"Restaurants scoring 4-5/5 rank higher than mixed reviews",TripAdvisor Guidelines,High
TRIPADVISOR ALGORITHM,Response Impact,100%,"Response rate and speed impact ranking; target 100% response",Best Practices,High
TRIPADVISOR ALGORITHM,Review Hub Results,Top 50 in 6 months,"Family restaurant using Review Hub jumped to top 50 in area in 6 months",Case Study,Medium

GOOGLE BUSINESS PROFILE,Optimization Impact,2.3x more reviews,"Optimized restaurants get 2.3x more reviews than others",Malou Study 2025,High
GOOGLE BUSINESS PROFILE,Interaction Increase,+15%,"At least +15% on interactions after 6 months of optimization",Malou Study 2025,High
GOOGLE BUSINESS PROFILE,Category Specificity,Higher ranking,"Specific categories (e.g., 'Egyptian Restaurant') rank better than generic",SEO Research,Medium
GOOGLE BUSINESS PROFILE,Review Generation,62% success rate,"62% of customers write review if asked directly",Industry Data,High

SOCIAL MEDIA REVENUE,Revenue Increase,9.9%,"Restaurants report average 9.9% revenue increase from social strategies",Restaurant Industry Report 2024,High
SOCIAL MEDIA REVENUE,Budget Trends,90% importance,"90% of restaurants say social media is very/extremely important",Industry Survey 2024,High
SOCIAL MEDIA REVENUE,Discovery Platform,40% preference,"40% of young people prefer Instagram/TikTok over Google Maps for restaurants",Consumer Behavior 2024,High
SOCIAL MEDIA REVENUE,Instagram Food Posts,310M+,"Over 310 million photos tagged #foodporn on Instagram (Aug 2024)",Instagram Analytics,Medium

INFLUENCER MARKETING,Micro-Influencer Shift,44% preference,"2024: 44% of brands prefer nano influencers (up from 39% in 2023)",Influencer Trends 2024,High
INFLUENCER MARKETING,Consumer Preference,40%,"40% of consumers prefer interacting with micro/nano influencers",Consumer Research 2024,High
INFLUENCER MARKETING,Budget Increases,63%,"63% of brands increasing influencer budgets for 2024",Marketing Budgets 2024,High
INFLUENCER MARKETING,ROI vs Paid Ads,Higher,"Influencer marketing delivers higher ROI than paid ads",Comparative Analysis,High
INFLUENCER MARKETING,Luxury Brand Visibility,30% increase,"Luxury brands see 30% visibility increase within first 3 months of campaigns",Luxury Marketing Study,High
INFLUENCER MARKETING,Authenticity Premium,25% higher engagement,"Campaigns prioritizing authenticity see 25% higher engagement",Engagement Analysis,High

CRM & RETENTION,Acquisition Cost,6-7x higher,"Acquiring new customers is 6-7x more expensive than retaining existing",Industry Benchmark,Critical
CRM & RETENTION,Personalized Email ROI,6x higher,"Personalized emails deliver 6x higher transaction rates",Email Marketing Data,High
CRM & RETENTION,Fine Dining Loyalty,90%,"90% of fine-dining guests say they'd sign up for loyalty program",Consumer Survey,High
CRM & RETENTION,Email Marketing ROI,€40 per €1,"Email marketing: €40 return for every €1 spent (general)",Marketing ROI Studies,High

RESERVATION SYSTEMS,OpenTable Network,60K+ restaurants,"60,000+ restaurants worldwide, 1.7B diners/year",OpenTable Data,High
RESERVATION SYSTEMS,OpenTable Pricing,$1-1.5 per cover,"Network bookings: $1-1.5 per cover; Own widget: $0.25 per cover",Pricing Analysis,High
RESERVATION SYSTEMS,Resy Pricing,$249/month,"Starting $249/month, NO per-cover fees",Resy Website,High
RESERVATION SYSTEMS,Resy Partnership,American Express,"Acquired by Amex 2019, Global Dining Access integration",Partnership Info,High
RESERVATION SYSTEMS,TheFork Network,65K+ restaurants,"65,000+ restaurants, 27M monthly visits, Europe-dominant",TheFork Data,High
RESERVATION SYSTEMS,TheFork Reach,20M+ monthly,"20M+ monthly visits across 11 countries",TheFork Statistics,High

CONTENT BEST PRACTICES,Food Photography Lighting,Natural light,"Natural light near windows with soft/indirect daylight preferred",Photography Guides,Medium
CONTENT BEST PRACTICES,Video Length TikTok,9-15 seconds,"9-15 seconds is sweet spot for TikTok (max 3 min but shorter wins)",TikTok Best Practices,High
CONTENT BEST PRACTICES,Video Length IG Reels,15-60 seconds,"Instagram Reels: Max 90 seconds, 15-60 optimal",Instagram Guidelines,High
CONTENT BEST PRACTICES,Video Length YouTube Shorts,Max 60 seconds,"YouTube Shorts capped at 60 seconds",YouTube Specifications,Medium
CONTENT BEST PRACTICES,Video Performance,89% maintaining,"89% of marketers maintaining/increasing video output in 2024",Marketing Trends 2024,High
CONTENT BEST PRACTICES,Content Mix Rule,80/20,"80% entertainment/engagement content, 20% sales/promotional",Social Media Strategy,Medium
CONTENT BEST PRACTICES,Hashtag Strategy,5+ hashtags,"Posts with 5+ hashtags generate more reactions (Michelin-starred research)",Michelin Restaurant Study,Medium
CONTENT BEST PRACTICES,Smartphone Quality,Acceptable,"Modern smartphones sufficient with good lighting; professional not always necessary",Industry Consensus,Low

USER-GENERATED CONTENT,Trust Factor,92%,"92% of customers trust individual content more than brand content",Consumer Trust Study,High
