Vremenski Okvir,Zadatak,Opis,Odgovorna Osoba,Prioritet,Trošak (Procjena),Status,Rezultat
"Tjedan 1","Odluka o pristupu scrapingu","Izabrati između: A) DIY sa Selenium, B) Ručna ekstrakcija HTML-a, C) Angažiranje freelancera",Tehnički Tim,Visok,€0-50,Pending,"Odluka donesena, pristup odabran"
"Tjedan 1","Instalacija potrebnih alata","Ako DIY: pip install selenium, ChromeDriver instalacija",IT,Visok,€0,Pending,"Alati instalirani i testirani"
"Tjedan 1","Test scraping - jedan restoran","Pilot test na Panorama restoranu za provjeru funkcionalnosti",Tehnički Tim,Visok,€0,Pending,"Uspješno izvučeno 10+ recenzija"
"Tjedan 2","Ekstrakcija svih recenzija","Scraping svih 566 recenzija sa sva 3 restorana",Tehnički Tim,Visok,€0-50,Pending,"JSON i CSV fajlovi sa svim recenzijama"
"Tjedan 2","Prijevod ključnih recenzija","Prevesti top 50 recenzija (po rating/helpful count) na hrvatski/engleski",Marketing,Srednji,€100-300,Pending,"Dokument sa prevedenim recenzijama"
"Tjedan 2","Sentiment analiza","Identificirati pozitivne/negativne teme, najčešće pohvale i prigovore",Marketing,Srednji,€0-200,Pending,"Analitički izvještaj"
"Tjedan 3","Kreiranje Nautika profila","Registracija Nautike na Dianping sa professional fotografijama",Marketing,Kritičan,€200-500,Pending,"Aktivan Dianping profil za Nautiku"
"Tjedan 3","Odgovori na top recenzije","Odgovoriti na top 20 recenzija za svaki restoran na kineskom jeziku",Manager + Prevoditelj,Visok,€150-400,Pending,"20+ odgovora po restoranu objavljeno"
"Tjedan 4","Kreiranje izvještaja","Kompletni izvještaj sa insights za gazdinu prezentaciju",Marketing Manager,Visok,€0,Pending,"PowerPoint/PDF prezentacija spremna"
"Mjesec 2","Automatsko praćenje","Setup cronjob za weekly scraping novih recenzija",IT,Srednji,€0,Pending,"Automatski weekly reports"
"Mjesec 2","Kontakt sa agencijama","Outreach prema 3 kineske digital marketing agencije za dugoročnu suradnju",Uprava,Visok,€0 (inquiries),Pending,"Ponude primljene, partner odabran"
"Mjesec 3","Partnership implementacija","Potpisivanje ugovora sa odabranom agencijom, početak managed services",Uprava,Visok,€500-2000/mj,Pending,"Aktivno upravljanje Dianping profilima"
"Kontinuirano","Response management","Redovno odgovaranje na nove recenzije (weekly check)",Marketing,Srednji,€200-400/mj,Pending,"<24h response time na nove recenzije"
"Kvartalno","Konkurentska analiza","Scraping konkurencije, benchmarking, strategy updates",Marketing,Srednji,€300-600/kv,Pending,"Kvartalni competitive intelligence izvještaj"
