category,metric,value,notes,source
Market Size,Annual German tourists to Croatia,3500000,Largest source market - 25% of overnight stays,Croatian Tourism Stats 2024
Market Size,German overnight stays in Croatia,20000000,27.4% of all foreign overnight stays in peak season,Croatian Tourism Board 2024
Market Size,German tourist spending in Croatia,€3500000000,€3.5 billion annually,Croatia Tourism 2024
Market Size,Average spending per German tourist,€833,2022 average per trip,Croatia Tourism Statistics
Market Size,German visitors to Dubrovnik (estimated),300000,Significant share of 1.2M total visitors,Estimated from regional data
Spending Patterns,Food & beverage share of spending,17%,Of total tourist expenditure,TOMAS Study
Spending Patterns,Accommodation share,54%,Of total tourist expenditure,TOMAS Study
Spending Patterns,Mid-range restaurant meal (2 people),€30-50,Typical spending range,Market research 2024
Spending Patterns,Upscale restaurant meal (2 people),€60-70+,Fine dining spending,Market research 2024
Spending Patterns,Food/beverage spending increase,28%,2017-2019 growth period,Croatian Tourism Ministry
Market Trends,German tourist decline 2024,-8%,Spending decrease vs 2023,Croatia Tourism 2024
Market Trends,German visitor decline 2024,-4%,Number of visitors vs 2023,Croatian Statistics 2024
Market Trends,German overnight decline 2024,-6%,Overnight stays vs 2023,Croatian Statistics 2024
Current Performance,German reviews in dataset,80,Total German reviews analyzed,TripAdvisor Analysis
Current Performance,German review percentage,0.7%,Of total 11500 reviews,TripAdvisor Analysis
Current Performance,German average rating,4.76,6th highest among all nationalities,TripAdvisor Analysis
Current Performance,German positive sentiment,81.2%,Among highest of all nationalities,TripAdvisor Analysis
Current Performance,German negative reviews,0.0%,NO negative reviews - remarkable,TripAdvisor Analysis
Current Performance,German sentiment score,0.796,14th overall ranking,TripAdvisor Analysis
German Priorities,Top priority 1 - Food,54,Number of mentions,TripAdvisor Analysis
German Priorities,Top priority 2 - Service,47,Number of mentions,TripAdvisor Analysis
German Priorities,Top priority 3 - View,43,Number of mentions,TripAdvisor Analysis
German Priorities,Top food preference - Fish,9,Number of mentions,TripAdvisor Analysis
German Priorities,Top food preference - Seafood,6,Number of mentions,TripAdvisor Analysis
German Priorities,Top praise - Recommend,14,Number of mentions,TripAdvisor Analysis
German Priorities,Top complaint - Price,1,Only 1 complaint about price,TripAdvisor Analysis
Booking Behavior,Average booking advance time,4.6 months,Before departure,Marriott Bonvoy Survey 2025
Booking Behavior,Book 6+ months advance,31%,When using travel agencies,Statista 2018
Booking Behavior,Book online percentage,68%,Prefer digital booking,German Travel Survey 2023
Booking Behavior,Use travel agencies,22%,Still significant channel,German Travel Survey 2023
Booking Behavior,Organize independently,52%,Self-planned trips,German Travel Survey 2023
Booking Behavior,Prioritize quality & comfort,59.6%,Top priority during trips,TGM Research 2025
Booking Behavior,Trust online reviews,49%,For accommodation/restaurant choices,German Travel Behavior 2024
Platform Usage,TripAdvisor.de ranking,#1,Most visited travel site Germany,Similarweb Nov 2024
Platform Usage,HolidayCheck.de ranking,#2,Runner-up travel site Germany,Similarweb Nov 2024
Platform Usage,HolidayCheck monthly visitors,20000000,20M visitors per month,HolidayCheck Media Kit
Platform Usage,Instagram usage in Germany,61.9%,Use at least monthly,Social Media Stats 2024
Platform Usage,Facebook usage in Germany,60.2%,Use at least monthly,Social Media Stats 2024
Platform Usage,Google Maps,Primary,Main navigation/restaurant search tool,Market Research
Platform Usage,Quandoo availability,Not available,German booking platform NOT in Croatia,Platform Coverage 2024
Dietary Trends,German vegetarians,15%,Self-identified,Food Trends Germany
Dietary Trends,German vegans,7%,Self-identified,Food Trends Germany
Dietary Trends,Reducing meat consumption,33%,Active reduction,Food Trends Germany
Payment Preferences,Cash transactions in Germany,50%,Still half of all transactions,Bundesbank 2023
Payment Preferences,Credit card usage Germany,<10%,POS payments,Bundesbank 2023
Payment Preferences,Prefer PayPal online,46%,For online purchases,Payment Trends 2022
Payment Preferences,Average cash carried,€100,In wallet,German Payment Study
Seasonality,Peak season,July-August,27.4% of foreign overnight stays,Croatian Tourism 2024
Seasonality,Tourist season length,8 months,Apr-Oct with Jul-Aug peak,Croatia Tourism Data
