metric,value,unit,year,source,growth_rate,notes,comparison_point,ranking,significance
Korean Tourists to Croatia,160000,visitors,2024,Croatian Tourism Board,+37% YoY,Record growth continuing into 2025,317000 in 2019 (pre-COVID),Growing,Primary market opportunity
Croatian Overnight Stays Korean,210000,nights,2024,Croatian Tourism Board,+34% YoY,Dubrovnik-Neretva among top regions,402000 in 2019,Growing,Shows sustained interest
Average Daily Spending Korean,155,EUR,2024,Croatian Tourism Board,Stable,Tied with USA as highest spenders,Global avg ~80 EUR,TOP TIER,Premium customer segment
Korean Luxury Spending Per Capita,325,USD,2022,Morgan Stanley,Growing,Highest globally for luxury goods,USA: 55 USD; China: 280 USD,#1 GLOBALLY,Willingness to pay premium
Naver Search Market Share,60,%,2024,Industry Reports,Stable,Dominant in South Korea,Google globally: ~92%,#1 in Korea,Critical platform
KakaoTalk User Penetration,99.1,%,2025,Company Data,Stable,53.5M monthly active users,WhatsApp globally: varies,#1 in Korea,Essential communication
Social Media Penetration Korea,93.4,%,2024,Industry Data,Growing,3rd highest globally,Global avg: ~60%,#3 GLOBALLY,Digital-first population
Instagram Users Korea,24,million,2024,Meta,+8% YoY,45% of population,Global: 2B+,Growing,Visual platform importance
YouTube Users Korea,43.6,million,2024,Google,Stable,~85% of population,Global: 2.7B,#1 video platform,Content discovery
Korean Outbound Tourism,~28,million,2024,Korea Tourism Org,+20% YoY post-COVID,Recovery continuing,Pre-COVID: ~28M,Recovering,Travel appetite strong
Europe Travel from Korea,~3,million,2024,Estimates,+25% YoY,Growing preference for Europe,Asia still dominant,Growing Share,Premium destinations preferred
Croatian Tourism Korean Share,0.5,%,2024,Calculated,Growing,160K of ~30M total Croatia visitors,Potential for 2-3%,UNDERSERVED,Huge growth potential
Current TripAdvisor Reviews Korean,13,reviews,2024,Project Data,Unknown baseline,Dubrovnik restaurants combined,~200 total Asian reviews,Small Sample,Need more data
Korean Guest Rating Average,4.92,stars,2024,Project Data,Highest in Asia,Highest satisfaction among all Asian markets,Asian avg: 4.62,#1,Satisfied customers
Korean Tourist Research on Portals,76.8,%,2023,Korean Travel Survey,Stable,Use Naver/Daum for planning,32.5% use social media,Dominant,Primary discovery channel
Korean Package Tour Percentage,40,%,2024,Industry Estimates,Declining,Hanatour and similar,60% FIT (independent),Shifting,B2B opportunity remains
Korean Solo Travel Gen Z,75,%,2024,Travel Industry,+20% YoY,Solo but open to group experiences,Gen X: 40% solo,Generational Shift,Target demographic
Korean Food Tourism Priority,HIGH,qualitative,2024,Industry Reports,Growing,Specific growth area identified,General tourism,KEY TREND,Restaurant-focused travel
Game of Thrones Tourism Impact Dubrovnik,60000,visitors annually,2019,Zagreb Economics Institute,Stable,GOT pilgrimage effect,Total: 1.35M visitors,Significant,Brand association
K-Drama Croatia Tourism Impact,200+,%,2013-2015,Tourism Board,"After ""The Romantic"" filming",Primary driver for Korean boom,2013 baseline,MASSIVE,Cultural influence key
Direct Flights Seoul-Croatia,2,routes,2024,Aviation Data,New/Restarted,T'Way Air + Korean Air charters,Pre-2020: 1 route,Improving,Access critical
Dubrovnik Visitors Annual,1350000,visitors,2024,Tourism Statistics,+4% YoY,Record year,2023: ~1.3M,Record,Market size
Korean Share of Dubrovnik Estimate,0.5-1.0,%,2024,Calculated Estimate,Growing,~7000-13500 Korean visitors estimated,Potential: 3-5%,OPPORTUNITY,Massive untapped market
Korean Influencer Campaign Cost Micro,300-1500,EUR,2024,Industry Rates,Stable,10K-100K followers,Mega: 5000-15000 EUR,Cost-Effective,Best ROI tier
Korean Social Media Engagement Rate Micro,6.15-6.76,%,2024,Industry Data,Above average,Highest engagement tier,Macro: 2-3%,HIGH,Authenticity valued
Naver Blog Average Review Length,1000-2000,words,2024,Platform Norms,Detailed content,With 20-40 photos typical,Western: 100-300 words,DETAILED,Content depth matters
Korean Instagram Hashtag Usage Rate,High,qualitative,2024,Platform Behavior,30 hashtags common,Critical for discovery,Western: 5-10 typical,ESSENTIAL,Discovery mechanism
Korean Honeymoon Market Europe,Growing,qualitative,2024,Industry Trend,+15% annually,Santorini model success,Asia dominant still,OPPORTUNITY,Romantic destinations
Korean Gen Z Travel Spend Increase,25+,%,2024,Industry Reports,Accelerating,Premium experiences prioritized,Overall: +10%,AGGRESSIVE,Young affluent market
European Restaurant Asian Guest Share Top,30-40,%,2024,Michelin Restaurants,Stable,Paris/Barcelona benchmarks,Dubrovnik: <1%,BENCHMARK,Achievable target
Croatia First Mover Advantage Window,12-18,months,2024-2025,Analysis Estimate,Closing,Before competition enters,Current: Wide open,URGENT,Act now critical
Korean Restaurant Planning Lead Time,3-4,weeks,2024,Behavior Research,Typical,Book well in advance,Western: 1-2 weeks,LONGER,Early marketing needed
Korean Guest Photo Time Average,15-30,minutes,2024,Observation,Cultural norm,Instagram culture,Western: 5-10 min,LONGER,Operational consideration
Korean Repeat Visitation Rate Croatia,10-15,%,2024,Industry Estimate,Growing,Satisfied customers return,First-time: 85-90%,MODERATE,Loyalty opportunity
Projected Korean Guests Year 1 Conservative,200-400,guests,2025,Model Projection,From ~100 baseline,With Tier 1 implementation,Baseline: 50-100,4x Growth,Achievable target
Projected Korean Revenue Year 1,17000-34000,EUR,2025,Model Projection,From ~4500 baseline,Average check: 85 EUR,Baseline: 4000-9000,4-8x Growth,Strong ROI
Projected Korean Guests Year 2 Moderate,500-800,guests,2026,Model Projection,Cumulative growth,With ongoing optimization,Year 1: 200-400,10x from baseline,Market capture target
Projected Korean Revenue Year 2,42500-68000,EUR,2026,Model Projection,Cumulative revenue,Average check increases to 90 EUR,Baseline: 4000-9000,15x from baseline,Significant revenue stream
