Year,Restaurant,Reviews,Avg Rating,5 Stars,4 Stars,3 Stars,2 Stars,1 Star,Positive %
2015,Nautika,16,4.63,11,4,1,0,0,93.8%
2015,Dubravka,16,3.88,5,7,2,1,1,75.0%
2016,Nautika,25,4.72,20,4,0,1,0,96.0%
2016,Dubravka,77,4.22,38,23,12,3,1,79.2%
2016,Panorama,45,4.47,25,18,1,0,1,95.6%
2017,Nautika,33,4.70,28,1,3,1,0,87.9%
2017,Arsenal,3,5.00,3,0,0,0,0,100.0%
2017,Dubravka,88,4.41,59,16,6,4,3,85.2%
2017,Panorama,74,4.59,52,17,2,3,0,93.2%
2018,Nautika,26,4.88,24,1,1,0,0,96.2%
2018,Arsenal,56,4.79,47,6,3,0,0,94.6%
2018,Dubravka,64,4.42,36,23,2,2,1,92.2%
2018,Panorama,58,4.62,41,14,2,0,1,94.8%
2019,Nautika,38,4.79,31,6,1,0,0,97.4%
2019,Arsenal,73,4.84,63,8,2,0,0,97.3%
2019,Dubravka,57,4.75,47,6,4,0,0,93.0%
2019,Panorama,79,4.59,58,14,4,2,1,91.1%
2020,Nautika,2,5.00,2,0,0,0,0,100.0%
2020,Arsenal,27,4.85,23,4,0,0,0,100.0%
2020,Dubravka,16,4.81,13,3,0,0,0,100.0%
2020,Panorama,9,4.56,7,1,0,1,0,88.9%
2021,Nautika,11,5.00,11,0,0,0,0,100.0%
2021,Arsenal,28,4.93,27,0,1,0,0,96.4%
2021,Dubravka,20,4.65,16,2,1,1,0,90.0%
2021,Panorama,16,4.94,15,1,0,0,0,100.0%
2022,Nautika,106,4.98,105,0,1,0,0,99.1%
2022,Arsenal,265,4.97,256,9,0,0,0,100.0%
2022,Dubravka,107,4.78,91,11,2,3,0,95.3%
2022,Panorama,164,4.91,152,10,2,0,0,98.8%
2023,Nautika,82,4.87,77,2,1,1,1,96.3%
2023,Arsenal,290,4.95,278,11,0,1,0,99.7%
2023,Dubravka,161,4.86,147,10,1,1,2,97.5%
2023,Panorama,182,4.91,173,5,2,1,1,97.8%
2024,Nautika,82,4.98,81,0,1,0,0,98.8%
2024,Arsenal,376,4.96,367,5,2,2,0,98.9%
2024,Dubravka,130,4.85,118,8,2,1,1,96.9%
2024,Panorama,128,4.89,118,8,0,2,0,98.4%
2025,Nautika,119,4.93,115,0,4,0,0,96.6%
2025,Arsenal,285,4.92,272,8,2,0,3,98.2%
2025,Dubravka,134,4.87,122,7,4,1,0,96.3%
2025,Panorama,152,4.88,140,8,2,1,1,97.4%
