zemlja_regija,platforma,nautika,panorama,dubravka_1836,arsenal,status,tip_platforme,korisnici_milijuni,prioritet,vaznost_napomena
GLOBALNO,TripAdvisor,✅ DA (2210 rec),✅ DA (1336 rec),✅ DA (4616 rec),✅ DA,PRISUTNI,Review platforma,490M,✅ POKRIVENO,Glavni source za sve zemlje
GLOBALNO,Google Reviews,✅ DA,✅ DA,✅ DA,✅ DA,PRISUTNI,Review platforma,4000M,✅ POKRIVENO,Automatski prisutni
GLOBALNO,Instagram,✅ DA (@nautikarestaurant - 7243 fol),⚠️ PARCIJALNO,⚠️ PARCIJALNO,⚠️ PARCIJALNO,PARCIJALNO,Social Media,2000M,🟡 OPTIMIZIRATI,Optimizirati hashtage za svaku zemlju
GLOBALNO,Facebook,✅ DA,✅ DA,✅ DA (88% rec),✅ DA,PRISUTNI,Social Media,3000M,✅ POKRIVENO,Dobra prisutnost
GLOBALNO,Michelin Guide,✅ DA (Plate),❌ NE,❌ NE,❌ NE,PARCIJALNO,Fine Dining Guide,Global,🟢 DOBRO,Samo Nautika ima Michelin Plate
GLOBALNO,TheFork/LaFourchette,✅ DA (partner),❌ NE,❌ NE,❌ NE,PARCIJALNO,Rezervacije Europa,40M,🟡 DODATI,Dodati ostale restorane
GLOBALNO,OpenTable,❌ NE,❌ NE,❌ NE,❌ NE,NISU PRISUTNI,Rezervacije USA/UK,20M,🟡 RAZMISLITI,Alternativan sistem
UK,Condé Nast Traveller UK,✅ DA (2008 - 6th romantic),❌ NE,❌ NE,❌ NE,STARO,Luxury Travel Mag,2M,🔴 AŽURIRATI,Samo stara recenzija iz 2008
UK,Harden's Guide,❌ NE,❌ NE,❌ NE,❌ NE,NISU PRISUTNI,UK Restaurant Guide,1M,🟡 RAZMISLITI,UK-specific guide
UK,Square Meal,❌ NE,❌ NE,❌ NE,❌ NE,NISU PRISUTNI,UK Restaurant Guide,0.5M,🟡 RAZMISLITI,UK-specific guide
UK,Mark Hix Review,✅ DA (London Chef),❌ NE,❌ NE,❌ NE,DA,UK Chef Review,N/A,✅ POKRIVENO,Dobra recenzija
FRANCUSKA,Le Figaro,❌ NE,❌ NE,❌ NE,❌ NE,NISU PRISUTNI,French Media,8M,🔴 TREBALI BI,Važan FR market
FRANCUSKA,Condé Nast Traveller FR,❌ NE,❌ NE,❌ NE,❌ NE,NISU PRISUTNI,Luxury Travel FR,1M,🟡 RAZMISLITI,FR edicija
NJEMACKA,Der Feinschmecker,❌ NE,❌ NE,❌ NE,❌ NE,NISU PRISUTNI,German Food Mag,0.2M,🟡 RAZMISLITI,Fokus na Njemačku
NJEMACKA,Der Spiegel,❌ NE,❌ NE,❌ NE,❌ NE,NISU PRISUTNI,German Media,5M,🟡 RAZMISLITI,General media
ITALIJA,La Repubblica,❌ NE,❌ NE,❌ NE,❌ NE,NISU PRISUTNI,Italian Media,15M,🟡 RAZMISLITI,Blizina tržišta
ITALIJA,Gambero Rosso,❌ NE,❌ NE,❌ NE,❌ NE,NISU PRISUTNI,Italian Food Guide,1M,🟡 RAZMISLITI,Fokus na Italiju
AUSTRIJA,Gault&Millau Croatia,❌ NE,❌ NE,❌ NE,❌ NE,NISU PRISUTNI,Fine Dining Guide,0.5M,🔴 VAŽNO!,Konkurenti jesu! (360 ima 4 toques)
AUSTRIJA,Falstaff,❌ NE,❌ NE,❌ NE,❌ NE,NISU PRISUTNI,Austrian Food Mag,0.3M,🟡 RAZMISLITI,AT/DE market
KINA,Dianping (大众点评),❌ NE,❌ NE,❌ NE,❌ NE,NISU PRISUTNI,Review Platforma,600M,🔴 KRITIČNO!,80% Kineza koristi ovo!
KINA,WeChat Official Account,❌ NE,❌ NE,❌ NE,❌ NE,NISU PRISUTNI,Social Media,1300M,🔴 KRITIČNO!,Essential za Kinu
